id,comp_resource,tx_power,bandwidth,channel_gain,noise_power,associated_bs_id
0,566,0.2,5000000,1.3150267422582713e-05,5.871268989898536e-08,10
1,991,0.2,5000000,2.8538427143665843e-06,7.164441804421692e-07,11
2,932,0.2,2000000,4.1693602771111055e-05,6.342526215247314e-07,9
3,910,0.1,1000000,2.468908645453343e-05,9.935752603122523e-07,11
4,850,0.2,5000000,4.116108383010335e-05,8.410220345127438e-07,0
5,642,0.1,1000000,1.193417873438044e-05,2.4442550497037952e-08,12
6,809,0.2,2000000,2.8610438523838673e-05,4.104858403683006e-07,5
7,674,0.1,1000000,3.0729623825240674e-05,6.867980240977804e-08,6
8,889,0.1,5000000,3.1531303519184294e-05,1.3126467690807291e-07,2
9,977,0.1,5000000,3.282206277095696e-05,9.218377169881976e-07,1
10,639,0.1,1000000,2.2327235821051205e-05,1.8661195063109297e-07,8
11,820,0.1,1000000,1.468932013715881e-05,9.613215896360898e-07,4
12,998,0.1,5000000,3.7802511739597314e-05,7.904950950570297e-07,5
13,779,0.2,1000000,1.4922793284548418e-05,3.0688052234910626e-07,6
14,654,0.2,1000000,1.6552451188528745e-05,1.403933424804499e-07,2
15,836,0.1,1000000,4.636192989080876e-05,4.019884660429292e-07,5
16,966,0.2,1000000,1.4428131850155902e-05,5.803902612849223e-07,2
17,642,0.2,1000000,2.698549280805519e-06,2.4188623312455254e-07,7
18,537,0.2,2000000,3.490509447335055e-05,9.89286833661778e-07,7
19,628,0.1,1000000,4.6349411772651044e-05,3.721058544687648e-07,1
20,663,0.2,2000000,8.128324989627356e-06,1.4741592244665923e-08,6
21,980,0.2,2000000,2.9183873364099274e-05,6.360356569661663e-07,10
22,759,0.2,1000000,1.1813299534187642e-05,6.945847066947582e-07,11
23,502,0.2,2000000,1.6774883214299445e-06,7.002313579600346e-07,9
24,566,0.1,1000000,2.763772672240956e-05,8.643982030020094e-08,1
25,700,0.1,5000000,4.416838993205364e-05,4.0879987632430677e-07,4
26,971,0.1,5000000,3.134057201268893e-05,7.590984805384553e-08,8
27,803,0.2,5000000,3.144763642605333e-05,2.9582834918904385e-07,0
28,907,0.1,1000000,1.0546392200804858e-05,1.7415706764547158e-07,2
29,787,0.1,1000000,4.491213290408731e-05,7.010205000823675e-07,4
