id,data_size,workload,invocations,func_type_id,associated_iot_id
0,0.027237,211,9,9,47
1,0.011858,629,11,6,73
2,0.222049,756,14,9,49
3,0.187914,786,13,6,4
4,0.481017,258,11,7,81
5,0.248763,632,11,6,52
6,0.126429,625,15,2,62
7,0.454609,412,7,2,18
8,0.268052,662,15,1,63
9,0.494095,724,13,4,72
10,0.243969,597,5,5,65
11,0.116687,262,7,9,47
12,0.424272,379,10,2,61
13,0.181259,223,6,2,89
14,0.407581,588,14,8,48
15,0.45301,501,8,3,14
16,0.186953,605,11,5,13
17,0.432807,684,14,2,58
18,0.258038,396,13,9,66
19,0.163573,269,12,0,28
20,0.213,247,12,9,95
21,0.423553,712,15,3,40
22,0.238836,521,7,3,52
23,0.17254,359,12,6,7
24,0.153131,363,11,6,69
25,0.019662,677,15,1,91
26,0.174022,730,13,0,22
27,0.126851,479,8,2,9
28,0.380696,475,15,3,70
29,0.218568,387,10,0,88
30,0.324172,778,5,0,25
31,0.243845,354,14,7,71
32,0.188445,329,15,5,77
33,0.295825,398,5,5,1
34,0.332563,536,7,4,8
35,0.362557,747,13,4,1
36,0.480801,630,10,0,68
37,0.139821,637,14,0,62
38,0.247047,336,10,5,25
39,0.395805,788,6,8,31
40,0.30196,508,12,2,50
41,0.204843,379,8,4,3
42,0.490122,207,12,9,51
43,0.438441,285,14,5,41
44,0.347887,362,14,8,51
45,0.154311,376,9,7,95
46,0.059669,207,15,1,26
47,0.349748,390,10,0,90
48,0.291777,619,14,2,1
49,0.110273,648,6,1,71
50,0.433536,788,12,4,82
51,0.040661,373,14,5,74
52,0.028904,205,8,7,10
53,0.342464,352,8,2,75
54,0.137129,684,7,9,45
55,0.199407,573,5,1,78
56,0.144591,531,13,0,89
57,0.45526,554,13,2,99
58,0.25999,309,15,1,27
59,0.452143,709,13,7,90
60,0.213529,304,9,1,4
61,0.204012,422,11,0,87
62,0.048864,408,10,0,38
63,0.362823,738,15,0,3
64,0.466487,364,14,0,40
65,0.445549,477,5,8,32
66,0.149885,376,11,3,86
67,0.056385,312,5,5,63
68,0.36774,487,14,6,1
69,0.341116,784,12,6,21
70,0.444037,498,7,0,40
71,0.395882,669,9,7,5
72,0.281118,323,6,1,52
73,0.203915,404,10,3,15
74,0.403862,713,13,9,29
75,0.18167,718,8,1,59
76,0.434038,395,13,3,74
77,0.345327,288,9,8,41
78,0.315821,201,9,5,73
79,0.348662,728,8,0,2
80,0.46975,687,12,4,93
81,0.186891,439,9,2,79
82,0.208871,327,6,9,10
83,0.429115,613,7,8,91
84,0.096235,389,12,8,77
85,0.3426,563,10,1,39
86,0.157926,537,8,0,89
87,0.296451,516,6,0,3
88,0.398002,267,14,3,25
89,0.081641,453,7,7,76
90,0.076192,520,8,4,80
91,0.15748,407,14,1,95
92,0.402392,290,12,4,3
93,0.17445,716,10,0,71
94,0.476801,329,9,5,37
95,0.459816,751,7,2,50
96,0.182301,540,12,9,41
97,0.031108,793,12,0,61
98,0.1678,762,8,4,41
99,0.362049,795,14,9,57
100,0.137697,725,14,5,27
101,0.103735,299,14,8,89
102,0.228521,698,15,8,3
103,0.108815,401,6,7,74
104,0.361773,743,15,6,95
105,0.432815,263,13,0,69
106,0.144432,382,5,4,37
107,0.21954,645,6,2,80
108,0.406975,796,10,9,35
109,0.100951,274,9,6,59
110,0.07318,431,8,8,96
111,0.408033,793,7,0,44
112,0.314503,572,7,6,75
113,0.060304,349,6,5,0
114,0.02641,648,9,5,43
115,0.358448,599,5,5,56
116,0.42681,465,10,3,50
117,0.033568,561,6,3,42
118,0.443371,492,5,0,33
119,0.139216,520,13,3,12
120,0.040012,302,10,6,18
121,0.125187,492,13,5,3
122,0.216922,625,8,4,74
123,0.421108,708,7,2,21
124,0.243931,426,11,2,81
125,0.222471,374,8,4,31
126,0.474751,703,11,9,40
127,0.229538,254,9,5,72
128,0.497526,442,13,5,85
129,0.010178,273,7,1,41
130,0.1163,575,14,8,25
131,0.272497,501,12,4,1
132,0.373657,340,6,8,57
133,0.401408,646,10,5,76
134,0.206335,502,9,8,51
135,0.156602,206,10,0,45
136,0.070322,539,8,8,83
137,0.261161,287,13,8,56
138,0.363381,527,6,5,74
139,0.184622,778,15,7,5
140,0.221869,621,12,5,87
141,0.247201,427,10,4,44
142,0.251678,742,9,4,74
143,0.347167,230,11,2,78
144,0.376422,556,10,2,50
145,0.270316,393,11,5,28
146,0.094285,258,11,9,99
