id,comp_resource,tx_power,bandwidth,channel_gain,noise_power,associated_bs_id
0,697,0.1,2000000,2.4329217478093385e-05,1.986748607956412e-07,2
1,632,0.1,1000000,3.128796048552721e-06,9.609658624867975e-07,10
2,723,0.1,5000000,3.596541903198615e-05,7.396755569131009e-07,10
3,915,0.2,2000000,4.1693602771111055e-05,6.342526215247314e-07,9
4,910,0.1,1000000,2.468908645453343e-05,9.935752603122523e-07,11
5,850,0.2,5000000,4.116108383010335e-05,8.410220345127438e-07,0
6,642,0.1,1000000,1.193417873438044e-05,2.4442550497037952e-08,9
7,831,0.2,2000000,2.8610438523838673e-05,4.104858403683006e-07,5
8,674,0.1,1000000,3.0729623825240674e-05,6.867980240977804e-08,6
9,889,0.1,5000000,3.1531303519184294e-05,1.3126467690807291e-07,2
10,977,0.1,5000000,3.282206277095696e-05,9.218377169881976e-07,1
11,639,0.1,1000000,2.2327235821051205e-05,1.8661195063109297e-07,8
12,820,0.1,1000000,1.468932013715881e-05,9.613215896360898e-07,4
13,998,0.1,5000000,3.7802511739597314e-05,7.904950950570297e-07,5
14,779,0.2,1000000,1.4922793284548418e-05,3.0688052234910626e-07,6
15,654,0.2,1000000,1.6552451188528745e-05,1.403933424804499e-07,2
16,836,0.1,1000000,4.636192989080876e-05,4.019884660429292e-07,5
17,966,0.2,1000000,1.4428131850155902e-05,5.803902612849223e-07,2
18,642,0.2,1000000,2.698549280805519e-06,2.4188623312455254e-07,7
19,537,0.2,2000000,3.490509447335055e-05,9.89286833661778e-07,7
20,628,0.1,1000000,4.6349411772651044e-05,3.721058544687648e-07,1
21,663,0.2,2000000,8.128324989627356e-06,1.4741592244665923e-08,6
22,980,0.2,2000000,2.9183873364099274e-05,6.360356569661663e-07,10
23,759,0.2,1000000,1.1813299534187642e-05,6.945847066947582e-07,11
24,502,0.2,2000000,1.6774883214299445e-06,7.002313579600346e-07,9
