server_id1,server_id2,latency,bandwidth
0,1,0.414562,712
0,2,0.054851,319
0,3,0.33394,433
0,4,0.109105,753
0,5,0.207748,899
0,6,0.262468,797
0,7,0.414666,790
0,8,0.187155,349
0,9,0.060005,525
0,10,0.159077,785
0,11,0.222255,609
1,2,0.156391,884
1,3,0.340324,102
1,4,0.470023,139
1,5,0.071591,158
1,6,0.025681,224
1,7,0.381501,113
1,8,0.243113,340
1,9,0.337524,766
1,10,0.11702,242
1,11,0.260739,509
2,3,0.190739,593
2,4,0.293833,203
2,5,0.156166,881
2,6,0.378817,413
2,7,0.310024,312
2,8,0.369243,341
2,9,0.455335,523
2,10,0.468846,642
2,11,0.076172,584
3,4,0.060489,390
3,5,0.041181,678
3,6,0.420753,786
3,7,0.086649,160
3,8,0.158789,390
3,9,0.271611,726
3,10,0.185077,419
3,11,0.433192,814
4,5,0.381028,647
4,6,0.43068,149
4,7,0.286798,806
4,8,0.040922,354
4,9,0.252059,604
4,10,0.048881,452
4,11,0.436473,713
5,6,0.473285,359
5,7,0.054681,335
5,8,0.240078,193
5,9,0.474368,959
5,10,0.027397,789
5,11,0.391832,239
6,7,0.432202,839
6,8,0.022872,925
6,9,0.11895,141
6,10,0.416683,750
6,11,0.471967,534
7,8,0.219234,105
7,9,0.491993,326
7,10,0.358415,550
7,11,0.345178,969
8,9,0.427084,535
8,10,0.339907,892
8,11,0.101893,527
9,10,0.086612,743
9,11,0.210932,269
10,11,0.333643,831
