id,comp_resource,tx_power,bandwidth,channel_gain,noise_power,associated_bs_id
0,1000,0.2,5000000,9.910144563535857e-06,7.28963064285408e-08,9
1,531,0.1,1000000,4.2115811870400456e-05,3.0319818573092357e-07,1
2,767,0.1,5000000,3.30453884281708e-05,6.532539081756708e-07,0
3,548,0.2,5000000,4.504674911831615e-05,3.3796223883986865e-07,8
4,840,0.2,1000000,7.190564748418521e-06,8.934999647033672e-08,5
5,525,0.2,2000000,3.668612641926401e-05,6.751630256953504e-07,1
6,996,0.1,2000000,2.525147755495427e-05,7.813410773969439e-07,5
7,866,0.2,1000000,2.4180078933843913e-05,4.207750405061444e-07,1
8,683,0.1,5000000,5.225162005440611e-06,6.681555342957904e-07,2
9,793,0.2,1000000,3.481333470511623e-05,4.304967575419387e-07,9
10,519,0.1,1000000,6.1820465048624705e-06,7.93530979579997e-07,1
11,564,0.1,2000000,6.808515214522713e-06,5.370199205214548e-07,4
12,979,0.2,2000000,4.3003360581108694e-05,3.9173897077348207e-07,0
13,547,0.1,5000000,2.082835328210465e-05,6.881966186750993e-07,9
14,706,0.2,5000000,2.9729866966802127e-05,9.133292240832823e-07,5
15,703,0.2,1000000,1.010441892848584e-05,1.8605217363989183e-07,3
16,861,0.1,5000000,1.2437847927079904e-05,3.069159630664875e-07,5
17,596,0.1,2000000,4.1313990738167886e-05,3.952593067483255e-07,0
18,734,0.1,1000000,2.3330777597683674e-06,5.503543174439416e-07,9
19,933,0.1,5000000,1.793219801717348e-05,2.2742320037367994e-07,7
