server_id1,server_id2,latency,bandwidth
0,1,0.258328,926
0,2,0.399713,655
0,3,0.108547,148
0,4,0.319252,607
0,5,0.116298,201
0,6,0.237869,537
0,7,0.184552,774
0,8,0.48964,373
0,9,0.340402,747
1,2,0.275416,994
1,3,0.472712,217
1,4,0.073046,153
1,5,0.043514,491
1,6,0.451401,269
1,7,0.495274,833
1,8,0.131802,147
1,9,0.101337,119
2,3,0.45993,334
2,4,0.395068,287
2,5,0.064007,590
2,6,0.373007,550
2,7,0.206982,608
2,8,0.374048,477
2,9,0.421153,223
3,4,0.285431,298
3,5,0.222875,408
3,6,0.0898,638
3,7,0.123586,560
3,8,0.277569,793
3,9,0.13987,507
4,5,0.303367,268
4,6,0.200871,527
4,7,0.429396,443
4,8,0.232363,108
4,9,0.498855,705
5,6,0.281378,613
5,7,0.308545,784
5,8,0.459035,266
5,9,0.323407,524
6,7,0.478192,733
6,8,0.128689,796
6,9,0.25594,719
7,8,0.216155,955
7,9,0.132824,810
8,9,0.388162,829
