id,data_size,workload,invocations,func_type_id,associated_iot_id
0,0.156238,719,14,1,4
1,0.193218,365,13,4,0
2,0.303483,700,5,0,11
3,0.440574,514,8,0,7
4,0.440225,280,6,3,2
5,0.489212,745,7,1,15
6,0.473956,369,9,4,19
7,0.217338,416,13,1,9
8,0.205506,582,12,4,14
9,0.069292,430,6,2,0
10,0.298271,435,14,1,0
11,0.044787,260,8,0,1
12,0.431221,272,13,1,8
13,0.337799,419,13,1,18
14,0.292344,448,12,3,6
15,0.05622,641,10,3,13
16,0.238842,255,15,0,1
17,0.207284,547,6,1,6
18,0.103202,659,7,3,5
19,0.146487,455,6,3,17
20,0.057975,753,5,0,7
21,0.091492,697,12,1,12
22,0.452197,368,11,0,12
23,0.139949,665,9,3,17
24,0.334317,698,7,1,9
25,0.116673,259,14,4,1
26,0.376508,258,5,4,15
27,0.256397,743,7,0,16
28,0.049255,390,6,4,2
29,0.340854,440,11,0,18
30,0.130646,240,14,0,13
31,0.332113,778,13,2,8
32,0.110087,521,8,2,12
33,0.07413,507,12,2,2
34,0.014565,776,6,0,17
35,0.114446,471,7,2,2
36,0.440842,578,9,1,14
37,0.418535,509,14,4,0
38,0.337253,767,9,0,4
39,0.139588,309,13,1,8
40,0.148061,415,10,1,8
41,0.25765,457,5,0,13
42,0.416381,245,5,2,4
43,0.322186,468,7,3,17
44,0.355777,774,5,0,2
45,0.473075,352,13,0,11
46,0.29543,351,11,1,1
47,0.161047,240,10,1,7
48,0.336797,562,13,3,19
49,0.377244,442,7,1,13
