id,comp_resource,tx_power,bandwidth,channel_gain,noise_power,associated_bs_id
0,616,0.05,1000000,5.59106675321803e-06,2.403342844568322e-07,4
1,413,0.2,1000000,3.6084961033197773e-05,7.043117238543337e-07,3
2,512,0.1,5000000,1.4631344703302475e-05,8.706073175850046e-07,1
3,757,0.1,2000000,1.4615695741910452e-05,2.2316062448651292e-07,2
4,452,0.05,2000000,5.739102464839737e-06,8.490194226839852e-07,4
5,535,0.05,5000000,2.3511819103920286e-05,1.3357790122467728e-07,3
6,440,0.2,2000000,4.164082854839675e-05,6.223345548406036e-07,2
7,695,0.05,5000000,4.408202292363305e-06,6.64650685382033e-07,2
8,440,0.05,1000000,1.9626185026919145e-05,4.5887619934475116e-07,2
9,483,0.1,2000000,1.1265844507802898e-05,2.7430804382862223e-07,0
10,711,0.2,1000000,2.7172853974455695e-05,2.5236281589991196e-07,3
11,594,0.1,5000000,3.4719935963232344e-05,2.274190222305663e-07,2
12,793,0.05,1000000,4.126832710633361e-05,8.069953427635023e-07,3
13,537,0.05,1000000,4.574367008509171e-05,5.715082509637173e-07,2
14,508,0.2,2000000,2.038596315197255e-05,9.154021138431382e-07,3
15,473,0.1,1000000,1.3084747877005192e-05,5.657544528215194e-07,2
16,782,0.2,2000000,4.499332129652137e-05,4.0540650008899334e-07,1
17,470,0.2,2000000,5.454561196515901e-06,5.664521167048722e-08,0
18,478,0.2,1000000,3.981188885378524e-05,4.279383671316872e-07,0
19,597,0.1,5000000,4.980994763176474e-05,5.338232016481457e-07,4
