server_id1,server_id2,latency,bandwidth
0,1,0.257825,778
0,2,0.473693,933
0,3,0.38504,137
0,4,0.238316,422
0,5,0.141151,218
0,6,0.485689,513
0,7,0.435157,944
1,2,0.494297,773
1,3,0.437296,573
1,4,0.218359,292
1,5,0.268851,737
1,6,0.383093,740
1,7,0.23218,152
2,3,0.117708,662
2,4,0.082886,394
2,5,0.230296,815
2,6,0.252662,129
2,7,0.48711,723
3,4,0.403671,826
3,5,0.096022,664
3,6,0.026564,517
3,7,0.06474,961
4,5,0.458206,572
4,6,0.474589,763
4,7,0.419429,610
5,6,0.467673,398
5,7,0.264259,379
6,7,0.219435,594
