id,data_size,workload,invocations,func_type_id,associated_iot_id
0,0.8,1500,2,1,10
1,1.0,1500,10,1,4
2,0.8,200,15,0,11
3,0.6,200,2,4,13
4,1.0,200,5,5,12
5,0.4,20,10,7,0
6,0.2,1500,10,3,0
7,0.4,20,2,7,13
8,0.2,200,5,7,8
9,0.4,1500,15,3,14
10,1.0,200,10,6,10
11,0.6,3000,15,1,3
12,0.4,20,10,0,9
13,1.0,200,5,0,1
14,0.2,200,2,0,13
15,0.6,20,5,4,10
16,0.8,200,5,7,3
17,0.8,3000,5,1,1
18,0.8,1500,15,6,7
19,0.2,20,2,6,11
20,0.6,20,5,3,3
21,1.0,3000,5,6,2
22,0.6,3000,5,1,7
23,1.0,20,2,0,1
24,0.4,200,15,7,7
25,0.4,3000,2,2,6
26,0.2,3000,10,7,4
27,0.8,3000,5,3,4
28,0.4,20,2,5,0
29,0.2,3000,5,0,8
30,0.2,200,2,1,10
31,0.4,3000,2,3,9
32,1.0,20,2,6,10
33,1.0,1500,10,3,10
34,0.6,200,10,6,2
35,0.6,3000,10,1,0
36,0.8,20,2,3,8
37,0.6,200,10,1,14
38,0.4,1500,10,2,7
39,1.0,1500,2,4,14
40,0.2,200,10,1,14
41,0.2,200,10,4,9
42,0.4,1500,5,4,8
43,0.8,1500,2,1,10
44,0.8,1500,2,0,5
45,0.4,1500,5,7,8
46,0.8,20,2,1,14
47,0.4,20,10,2,6
48,0.4,20,10,5,14
49,0.2,1500,5,3,10
50,0.2,1500,15,2,14
51,0.4,200,5,6,0
52,0.4,1500,15,3,4
53,0.4,20,15,0,13
54,0.8,200,5,7,5
55,0.6,200,5,0,10
56,0.4,3000,10,4,13
57,0.2,1500,10,6,10
58,1.0,1500,2,1,14
59,0.6,200,10,0,1
60,1.0,3000,10,5,6
61,1.0,20,15,3,4
62,0.2,3000,2,3,5
63,0.8,20,10,5,10
64,0.2,1500,10,6,5
65,0.8,1500,5,3,6
66,0.8,200,10,6,8
67,0.2,1500,10,3,6
68,1.0,1500,15,7,7
69,0.4,3000,5,1,4
70,1.0,1500,2,3,10
71,0.6,200,5,2,0
72,0.2,200,15,1,7
73,0.8,200,15,7,6
74,0.4,200,2,1,12
75,0.8,200,5,7,0
76,1.0,200,2,7,2
77,0.8,1500,15,6,13
78,1.0,3000,5,7,7
79,0.6,200,10,7,10
80,0.4,1500,15,1,11
81,0.6,200,10,5,5
82,1.0,20,5,2,3
83,0.8,200,5,1,6
84,0.8,1500,15,6,0
85,0.4,3000,15,0,13
86,1.0,3000,15,0,5
87,0.6,3000,15,3,7
88,0.4,1500,15,7,0
89,0.8,1500,15,2,13
90,0.8,200,2,6,9
91,1.0,20,2,6,2
92,0.8,200,2,4,6
93,0.6,200,15,5,5
94,0.8,1500,15,4,13
95,0.2,3000,2,0,5
96,0.4,20,2,0,3
97,0.4,20,5,3,2
98,0.8,20,5,7,11
99,0.6,1500,5,1,12
