id,comp_resource,tx_power,bandwidth,channel_gain,noise_power,associated_bs_id
0,808,0.1,5000000,1.0743044883645778e-05,6.53385593401728e-07,4
1,714,0.1,2000000,2.987401850991953e-05,8.113361521110485e-07,0
2,888,0.1,5000000,2.1708105509521628e-05,2.8509262825492544e-07,1
3,990,0.2,1000000,5.544546325627248e-06,1.0574921306512938e-07,2
4,809,0.2,1000000,3.6756857547997075e-05,5.408658105401538e-07,3
5,540,0.2,5000000,3.130746786584806e-05,8.630898313076695e-07,4
6,598,0.1,1000000,3.34019026098178e-05,7.753376573808051e-07,0
7,937,0.1,1000000,1.9626185026919145e-05,4.5887619934475116e-07,2
8,583,0.2,2000000,1.1265844507802898e-05,2.7430804382862223e-07,5
9,831,0.1,5000000,3.211393612165595e-05,5.38798478259411e-07,1
10,583,0.2,2000000,1.4227443512429623e-05,9.261372678250056e-07,5
11,785,0.1,5000000,1.6889853986350772e-05,7.706304418164485e-07,0
12,617,0.1,2000000,2.0657074564094122e-05,7.552671915943177e-08,4
13,948,0.2,1000000,3.3116494599449124e-05,4.0167558205005763e-07,5
14,734,0.1,2000000,7.84188565674981e-06,7.475390922706905e-07,4
