id,data_size,workload,invocations,func_type_id,associated_iot_id
0,0.8,1500,2,1,9
1,0.6,200,15,3,7
2,0.4,1500,5,1,8
3,1.0,1500,15,4,6
4,0.6,200,5,4,7
5,0.2,20,2,1,2
6,0.8,20,15,3,9
7,0.8,1500,2,5,1
8,1.0,1500,10,0,4
9,0.8,200,15,0,4
10,1.0,200,2,5,4
11,1.0,200,5,2,2
12,1.0,20,10,3,0
13,0.2,1500,10,1,0
14,0.4,20,2,5,7
15,0.2,200,5,5,7
16,1.0,200,10,4,9
17,0.8,200,5,5,4
18,0.8,1500,15,4,7
19,0.2,200,5,0,5
20,0.2,200,5,0,1
21,0.2,200,2,0,5
22,0.2,200,10,5,7
23,0.4,200,15,1,7
24,0.8,200,2,0,6
25,0.6,3000,15,3,0
26,0.2,20,15,5,5
27,0.2,200,5,1,8
28,0.8,200,15,1,4
29,0.8,200,2,3,8
30,0.2,20,2,0,3
31,0.4,3000,15,3,3
32,0.8,20,5,3,0
33,0.8,1500,15,2,6
34,1.0,3000,5,1,4
35,0.4,20,2,5,5
36,0.2,20,15,4,8
37,0.4,20,2,1,1
38,1.0,20,5,3,1
39,1.0,200,2,4,1
40,0.8,1500,10,1,5
41,0.4,1500,15,1,4
42,0.8,1500,2,0,7
43,1.0,20,2,4,3
44,1.0,1500,5,2,1
45,0.4,1500,10,1,7
46,1.0,1500,2,5,8
47,0.6,20,5,2,1
48,0.2,200,10,2,9
49,0.4,1500,5,5,4
