Base Station Count,SEC Server Count,IoT Device Count,Function Type Count,Function Task Count,Latency Weight (OMEGA),CPU MEM RATIO,Latency REF (s),Energy REF (J),Algorithm Full Name,Offloading Algorithm,Scheduling Algorithm,Resource Allocation Algorithm,System Cost,Real Latency (s),Real Energy (J),Offloading Ratio,Execution Time (s)
4,4,10,6,50,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,216.41836965907808,1876.1393772234364,288.0443193673439,1.0,0.022360563278198242
4,4,10,6,50,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,217.35522791990724,1010.3591483031157,1163.1931308959565,0.58,0.0076901912689208984
4,4,10,6,50,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,138.4967848051488,994.3539821167814,390.61386593470644,0.4,0.00966954231262207
4,4,10,6,50,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,135.26416900439187,866.4907690892144,486.15092095470385,0.3,0.06861090660095215
4,4,10,6,50,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,133.76954745538347,897.3206476378739,440.3748269159603,0.32,0.010788917541503906
4,4,10,6,50,0.5,1.5,5,5,IoTOnly,IoTOnly,,,342.25672844636017,559.1636858636019,2863.4035986000004,0.0,1.6689300537109375e-05
6,6,15,8,100,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,515.7124831952632,4700.074478442618,457.05035351001555,1.0,0.31241846084594727
6,6,15,8,100,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,437.588090213097,2224.131658606502,2151.749243524467,0.55,0.0699164867401123
6,6,15,8,100,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,321.1505080966734,2076.79804520752,1134.707035759215,0.37,0.06746220588684082
6,6,15,8,100,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,312.44790120063453,1725.994655417532,1398.4843565888127,0.27,0.6352345943450928
6,6,15,8,100,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,312.07067368100337,2216.9859540296106,903.7207827804214,0.33,0.06496644020080566
6,6,15,8,100,0.5,1.5,5,5,IoTOnly,IoTOnly,,,583.2784057177346,1301.0284263773472,4531.755630799999,0.0,4.57763671875e-05
8,8,15,10,150,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,374.82284932221216,3108.4937592846213,639.7347339375006,1.0,1.1317014694213867
